date,headline,close_t_plus_2
2020-03-23,"Twitter Expects Q1 Operating Loss As Pandemic Hurts Ad Sales [SEP] Foxconn Has Secured Enough Workers To Meet 'Seasonal Demand' At All Major Chinese Plants [SEP] Shares of some technology companies are trading lower amid market volatility. Sunday's fiscal stimulus bill failed a procedural senate vote while the Fed on Monday announced stimulus measures. NOTE: Sector is mixed, with some names up for the session. [SEP] Nomura Instinet Maintains Neutral on Apple, Lowers Price Target to $225 [SEP] How Tim Cook, Mark Zuckerberg And Other Tech CEOs Are Helping Fight The Global Pandemic [SEP] 3 ETFs To Short The Dow [SEP] Apple Dropped Two-device Limit on Online Purchases of iPhones [SEP] Cisco Pledges $225M To Fight Global Coronavirus Pandemic",245.5200042724609
2020-03-24,"'Apple Expects to Start Reopening Stores in First Half of April' -Bloomberg [SEP] Apple Expects Stores To Start Re-Opening In First Half On April [SEP] Apple Store Closures Could Leave Some Device Owners In The Lurch: Report [SEP] 75 Stocks Moving In Tuesday's Mid-Day Session [SEP] Rise In Semiconductor, Cloud Computing Stocks Could Set Tone For Broader Economy [SEP] Shares of several technology companies are trading higher amid market strength on hopes of a US economic stimulus package agreement. [SEP] 26 Stocks Moving in Tuesday's Pre-Market Session",258.44000244140625
2020-03-25,"Tim Cook Announces Apple 10M Masks Donation To US Health Workers [SEP] Apple Shares Tank As Report Says New iPhone Launch Could Be Moved To Next Year [SEP] 'Apple weighs delaying 5G iPhone launch by months, sources say' -Nikkei [SEP] Apple's Tim Cook Says Has Been Able To 'Source 10M masks for the US and millions more' For Regions In Europe, Says ' Our ops teams are helping to find and purchase masks from our supply chain in coordination with governments around the world.' [SEP] COVID-19 Crisis Could Make Big Tech Even Stronger [SEP] Tesla, Wayfair And Other Profitable Short Trades Could Get A Short Covering Boost [SEP] 'Huawei is set to release its #P40 phone series on Thursday, a move that analysts predicted could help push up its phone shipments and even surpass major counterpart @Apple in the short term' -Tweet From China's Global Times Biz [SEP] Airline Shares Jump As Stimulus Agreement Offers Relief, While Nike Up On Earnings [SEP] A Peek Into The Markets: US Stock Futures Surge After Senate, White House Strike Deal On Coronavirus Stimulus Package [SEP] Apple Said to be Accelerating Production Relocation Outside China [SEP] Deutsche Bank Upgrades Apple to Buy, Announces $270 Price Target [SEP] 120 Biggest Movers From Yesterday",247.7400054931641
2020-03-26,Roku Or Netflix – Which One Is Better In The Near Term?,254.8099975585937
2020-03-27,"Loup Ventures Says Believes Demand For 5G iPhone Will Be Initially Muted 'as it will reflect overall consumer demand in the fall which we expect to be soft'; Says Believes Apple Is 'One Of The Best Ways' To Invest In 5G Transformation [SEP] Loup Ventures Says 'Taking the view that China production will remain stable (which can quickly change), the supply chain should be positioned to supply several million iPhones by the end of September, in line with supply for previous launches.' [SEP] Loup Ventures Says Believes It Is Still Likely Apple Will Host A Fall 5G iPhone Launch; Notes China Manufacturing And Assembly, Including Some Apple Partners Are Starting To Ramp Up Production [SEP] For Some Companies, A Sliver Of Good News During COVID-19 [SEP] 'New #COVID19 screening app developed by @Apple, in partnership with @CDCgov, @fema and the @WhiteHouse #coronavirus task force.' -VOA's Steve Herman [SEP] Regional Banks, Other Cyclicals Saw Buying Interest Yesterday Amid Stimulus Hopes [SEP] 'Apple iPhone demand destruction 'intensifying,' says Cleveland Research' - Walter Bloomberg [SEP] Shares of several technology, semiconductor, and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus. [SEP] 1,000 Google Employees Volunteer To Help Expand Sister Company's Coronavirus Testing Program [SEP] Apple PCB Suppliers Dismiss Speculation about 5G iPhone Delay [SEP] Huawei Releases Latest Flagship Phone Amid Global Coronavirus Lockdown [SEP] Trump Lashes Out At Washington, Michigan Governors For Pandemic Response: 'We Don't Like To See The Complaints'",254.2899932861328
2020-03-30,"Ad Sales Decrease With Covid-19 But Digital Holds The Key [SEP] Shares of several technology companies are trading higher as equities continue to rise following last week's rebound amid US stimulus measures. [SEP] UBS Maintains Buy on Apple, Lowers Price Target to $290 [SEP] Apple Supplier Foxconn's Profit Falls Nearly 25% Year-Over-Year: Report",240.9100036621093
2020-03-31,"Apple Acquires DarkSky, Weather App To Be Pulled From Android [SEP] What Google And Is Doing To Fight The Coronavirus [SEP] Apple Acquires Dark Sky Weather App [SEP] Strategist Channels His Inner Elsa, Says Apple Investors Need To Let It Go [SEP] Japan Display to Raise $200M by Selling Display Production Equipment to Overseas Client Said to be Apple",244.92999267578125
2020-04-01,"Is Roku Above Other Streamers – A SWOT Approach [SEP] Hearing Apple, Goldman To Let Card Holders Defer April Payments [SEP] Apple Analyst Projects 'Multi-Quarter Impact' On iPhone Shipments From COVID-19 Pandemic [SEP] Some Staples Stocks Bouncing Back After Sliding In Recent Rally As Caution Tightens Grip [SEP] Shares of several technology, semiconductor, and software companies are trading lower amid market weakness as macro concerns continue to grow as a result of the coronavirus pandemic. The White House said it expects a surge in cases over the next 2 weeks. [SEP] A Peek Into The Markets: US Stock Futures Tumble Ahead Of ADP, Manufacturing Reports [SEP] Here's How The 'MAGA' Tech Giant Stocks Performed In Q1",241.4100036621093
2020-04-02,"Coronavirus Outbreak Updated: Keep Up With The Latest Headlines [SEP] Credit Suisse Compiles List Of Corporations With Most And Least Cash [SEP] A Peek Into The Markets: US Stock Futures Gain, Jobless Claims In Focus [SEP] Amazon Offers Prime Video Purchases On iOS As Apple Foregoes 30% Third-Party Tax",262.47000122070307
2020-04-03,"Roland Garros Is Giving Us Hope – Shall We Dare to Dream? [SEP] Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $298 [SEP] Credit Suisse Maintains Neutral on Apple, Lowers Price Target to $260 [SEP] Apple Accidentally Confirms Unreleased Product That Helps Users Find Lost Items [SEP] Apple Tells Staff U.S. Stores to Remain Closed Until Early May",259.42999267578125
